item_id,order_id,email,price
3715,0,dbeckendt@fema.gov,15.99
13137,1,rvize8a@soundcloud.com,16.99
13138,1,rvize8a@soundcloud.com,16.99
16444,1,rvize8a@soundcloud.com,15.99
16445,1,rvize8a@soundcloud.com,15.99
642,2,dpavlovsky7y@gravatar.com,118.99
643,2,dpavlovsky7y@gravatar.com,118.99
644,2,dpavlovsky7y@gravatar.com,118.99
645,2,dpavlovsky7y@gravatar.com,87.49
15262,2,dpavlovsky7y@gravatar.com,209.99
15263,2,dpavlovsky7y@gravatar.com,209.99
3744,3,kposner22@msn.com,420
10996,3,kposner22@msn.com,23
10997,3,kposner22@msn.com,23
10998,3,kposner22@msn.com,23
10999,3,kposner22@msn.com,23
11000,3,kposner22@msn.com,23
14817,4,sacres5d@google.nl,52.99
14818,4,sacres5d@google.nl,52.99
14819,4,sacres5d@google.nl,52.99
14820,4,sacres5d@google.nl,52.99
5358,5,nnovacek5a@hibu.com,72.72
5359,5,nnovacek5a@hibu.com,72.72
5360,5,nnovacek5a@hibu.com,72.72
5361,5,nnovacek5a@hibu.com,72.72
5362,5,nnovacek5a@hibu.com,72.72
7750,6,hkrolak3q@vk.com,17
11614,6,hkrolak3q@vk.com,11.99
11615,6,hkrolak3q@vk.com,11.99
11616,6,hkrolak3q@vk.com,11.99
6013,6,hkrolak3q@vk.com,5.39
6014,6,hkrolak3q@vk.com,5.39
6015,6,hkrolak3q@vk.com,5.39
954,8,pussher4v@washington.edu,58.95
955,8,pussher4v@washington.edu,58.95
7481,9,ykillbeyj1@auda.org.au,31.24
7482,9,ykillbeyj1@auda.org.au,31.24
7483,9,ykillbeyj1@auda.org.au,31.24
7484,9,ykillbeyj1@auda.org.au,31.24
7485,9,ykillbeyj1@auda.org.au,31.24
14582,10,igarlicke5l@sun.com,179.95
14583,10,igarlicke5l@sun.com,179.95
14584,10,igarlicke5l@sun.com,179.95
557,11,bjemmisonp@apache.org,118.99
558,11,bjemmisonp@apache.org,118.99
12264,11,bjemmisonp@apache.org,14.43
12265,11,bjemmisonp@apache.org,14.43
12266,11,bjemmisonp@apache.org,14.43
12267,11,bjemmisonp@apache.org,14.43
14862,11,bjemmisonp@apache.org,52.99
16804,12,epapaeb@archive.org,25.63
16805,12,epapaeb@archive.org,25.63
5134,12,epapaeb@archive.org,24.32
5135,12,epapaeb@archive.org,24.32
5136,12,epapaeb@archive.org,24.32
2828,13,cfossitt3x@weebly.com,140
2829,13,cfossitt3x@weebly.com,140
2830,13,cfossitt3x@weebly.com,140
2831,13,cfossitt3x@weebly.com,140
